Date,close,high,low,open,volume
2025-01-13,321.1499938964844,334.0,318.04998779296875,332.0,2182625
2025-01-14,324.0,328.6000061035156,318.6000061035156,319.54998779296875,1602282
2025-01-15,324.8500061035156,327.0,318.25,326.95001220703125,1214925
2025-01-16,332.25,335.3500061035156,323.04998779296875,327.95001220703125,1981836
2025-01-17,338.54998779296875,339.79998779296875,327.6000061035156,331.45001220703125,1620514
2025-01-20,345.20001220703125,346.8999938964844,330.8500061035156,345.0,2253240
2025-01-21,329.25,343.8999938964844,327.6000061035156,343.79998779296875,2071541
2025-01-22,322.29998779296875,330.6000061035156,312.3500061035156,330.29998779296875,2952508
2025-01-23,326.95001220703125,329.45001220703125,322.5,324.3500061035156,1559376
2025-01-24,321.75,331.25,319.04998779296875,327.0,1097225
2025-01-27,312.8999938964844,319.0,308.1499938964844,318.20001220703125,2810899
2025-01-28,311.45001220703125,319.6000061035156,306.54998779296875,313.8500061035156,958967
2025-01-29,323.45001220703125,324.95001220703125,308.04998779296875,312.0,956197
2025-01-30,322.6000061035156,326.25,316.75,324.0,1126870
2025-01-31,321.04998779296875,323.8500061035156,318.04998779296875,320.5,1627149
2025-02-01,320.8500061035156,326.1499938964844,313.54998779296875,321.95001220703125,705000
2025-02-03,323.3500061035156,330.79998779296875,314.3500061035156,318.54998779296875,1042101
2025-02-04,328.79998779296875,330.54998779296875,320.1000061035156,326.45001220703125,1450537
2025-02-05,328.3500061035156,332.5,325.6499938964844,328.5,1502457
2025-02-06,321.95001220703125,328.8500061035156,320.25,328.8500061035156,1169821
2025-02-07,315.1000061035156,324.70001220703125,307.29998779296875,324.70001220703125,5745752
2025-02-10,297.25,321.0,295.8999938964844,316.0,8218593
2025-02-11,284.1499938964844,297.29998779296875,283.04998779296875,297.25,3691557
2025-02-12,273.79998779296875,286.1000061035156,272.04998779296875,282.04998779296875,4878361
2025-02-13,281.79998779296875,287.79998779296875,273.3500061035156,273.3500061035156,5247095
2025-02-14,266.25,282.75,261.79998779296875,282.0,5959346
2025-02-17,267.3500061035156,271.1000061035156,261.0,265.0,2780471
2025-02-18,267.5,270.75,263.8500061035156,267.0,1537752
2025-02-19,276.0,278.3500061035156,264.20001220703125,266.1000061035156,1264216
2025-02-20,274.95001220703125,279.25,271.79998779296875,276.6000061035156,2776766
2025-02-21,273.3500061035156,281.8500061035156,272.45001220703125,275.6000061035156,1590673
2025-02-24,272.8999938964844,277.3500061035156,268.25,273.0,2205599
2025-02-25,261.8999938964844,273.54998779296875,260.45001220703125,271.45001220703125,3511048
2025-02-27,256.04998779296875,264.0,252.0500030517578,262.25,5041680
2025-02-28,249.85000610351562,255.35000610351562,243.60000610351562,254.9499969482422,5534878
2025-03-03,253.67999267578125,254.8000030517578,244.75,250.0,1811329
2025-03-04,247.19000244140625,255.0,245.0500030517578,252.00999450683594,2176792
2025-03-05,255.72000122070312,256.70001220703125,248.0,248.10000610351562,4103168
2025-03-06,260.989990234375,265.69000244140625,256.20001220703125,257.0,1582609
2025-03-07,255.4499969482422,263.42999267578125,254.5500030517578,260.9800109863281,1203015
2025-03-10,250.82000732421875,259.6099853515625,250.25,255.64999389648438,1233134
2025-03-11,248.3800048828125,253.92999267578125,246.11000061035156,247.00999450683594,1098020
2025-03-12,240.2899932861328,251.08999633789062,237.64999389648438,250.99000549316406,2309916
2025-03-13,241.75999450683594,242.9499969482422,236.52999877929688,242.0,2372240
2025-03-17,242.39999389648438,249.75,241.77000427246094,242.5,1786577
2025-03-18,242.39999389648438,242.39999389648438,242.39999389648438,242.39999389648438,0
2025-03-19,260.9599914550781,261.8999938964844,252.5,252.89999389648438,3571575
2025-03-20,257.07000732421875,263.1000061035156,255.0,262.04998779296875,2153817
2025-03-21,263.6199951171875,265.82000732421875,257.92999267578125,259.6000061035156,2596901
2025-03-24,259.82000732421875,269.5,259.010009765625,265.010009765625,1616963
2025-03-25,257.20001220703125,262.8900146484375,250.6999969482422,261.45001220703125,3601892
2025-03-26,254.69000244140625,259.8500061035156,253.00999450683594,258.1000061035156,1525361
2025-03-27,252.9199981689453,256.0,249.85000610351562,253.75,5991936
2025-03-28,255.10000610351562,263.79998779296875,252.14999389648438,252.49000549316406,3313968
2025-04-01,260.75,263.95001220703125,253.35000610351562,255.10000610351562,3035758
2025-04-02,259.0,261.6499938964844,252.6999969482422,260.3500061035156,2626407
2025-04-03,263.54998779296875,265.29998779296875,256.5,257.6499938964844,2428693
2025-04-04,258.79998779296875,263.20001220703125,249.64999389648438,262.25,2425014
2025-04-07,268.3500061035156,271.29998779296875,238.5,244.60000610351562,24894586
2025-04-08,248.89999389648438,276.25,247.14999389648438,275.0,24061856
2025-04-09,243.35000610351562,252.0,239.5500030517578,252.0,9410341
2025-04-11,246.9499969482422,249.4499969482422,242.0500030517578,249.4499969482422,5351397
2025-04-15,258.6000061035156,259.3999938964844,247.35000610351562,249.89999389648438,5989813
2025-04-16,263.04998779296875,263.70001220703125,257.20001220703125,258.6000061035156,3579086
2025-04-17,281.04998779296875,282.79998779296875,262.20001220703125,263.0,17063440
2025-04-21,292.0,293.5,284.0,285.0,8984493
2025-04-22,294.0,303.5,292.5,292.95001220703125,7295416
2025-04-23,302.79998779296875,304.25,292.20001220703125,298.0,5647213
2025-04-24,300.70001220703125,303.5,297.25,303.0,2708140
2025-04-25,304.8999938964844,307.0,297.54998779296875,300.70001220703125,9317417
2025-04-28,304.3500061035156,309.8999938964844,299.04998779296875,308.5,4789531
2025-04-29,309.8500061035156,312.5,305.0,305.5,3788079
2025-04-30,305.54998779296875,310.79998779296875,304.75,309.8500061035156,2052252
2025-05-02,306.8500061035156,310.20001220703125,305.5,306.8999938964844,1208961
2025-05-05,305.6499938964844,309.0,304.0,307.1000061035156,1515769
2025-05-06,302.1000061035156,309.0,301.29998779296875,305.6499938964844,2944422
2025-05-07,304.5,308.79998779296875,298.0,298.0,2823501
2025-05-08,301.29998779296875,307.5,295.3999938964844,304.04998779296875,5785763
2025-05-09,300.20001220703125,303.6000061035156,295.5,295.5,3413184
2025-05-12,311.0,312.0,304.04998779296875,304.04998779296875,2658126
2025-05-13,318.70001220703125,320.3999938964844,311.25,312.0,2906144
2025-05-14,323.95001220703125,326.75,318.29998779296875,319.1000061035156,3166485
2025-05-15,324.1000061035156,326.8999938964844,322.1499938964844,324.45001220703125,2293265
2025-05-16,320.8500061035156,328.1499938964844,320.04998779296875,326.8999938964844,2114291
2025-05-19,351.25,367.70001220703125,332.29998779296875,335.8500061035156,44159054
2025-05-20,349.54998779296875,359.6000061035156,346.5,352.0,8770759
2025-05-21,348.1000061035156,352.54998779296875,340.54998779296875,350.45001220703125,2867468
2025-05-22,350.8999938964844,354.1499938964844,344.8999938964844,345.29998779296875,2255677
2025-05-23,354.5,362.79998779296875,347.75,350.8999938964844,3896077
2025-05-26,362.54998779296875,363.0,353.45001220703125,356.8999938964844,3205936
2025-05-27,363.04998779296875,370.0,360.6000061035156,364.0,3847695
2025-05-28,358.54998779296875,365.3999938964844,357.1000061035156,363.04998779296875,1802299
2025-05-29,360.1499938964844,362.0,358.1000061035156,359.8999938964844,963864
2025-05-30,358.0,373.54998779296875,356.8999938964844,361.75,4070536
2025-06-02,366.6000061035156,369.79998779296875,354.75,358.1000061035156,2986711
2025-06-03,369.70001220703125,375.70001220703125,367.1499938964844,368.70001220703125,3054798
2025-06-04,369.3999938964844,370.0,362.70001220703125,369.1000061035156,880400
2025-06-05,369.25,374.70001220703125,368.04998779296875,369.95001220703125,2064164
2025-06-06,367.04998779296875,373.75,365.0,370.25,1224117
2025-06-09,371.8500061035156,377.0,366.1000061035156,367.04998779296875,3064717
2025-06-10,366.5,374.6499938964844,365.6000061035156,373.0,1155614
2025-06-11,365.3999938964844,370.0,361.6000061035156,367.0,1584094
2025-06-12,357.6000061035156,369.45001220703125,356.04998779296875,365.0,2230187
2025-06-13,360.04998779296875,361.1499938964844,343.5,350.0,2074928
2025-06-16,365.29998779296875,365.70001220703125,353.6499938964844,360.1000061035156,1270461
2025-06-17,358.75,366.0,357.1499938964844,365.29998779296875,767727
2025-06-18,365.3500061035156,368.25,357.54998779296875,360.95001220703125,5011004
2025-06-19,355.25,366.5,352.75,365.79998779296875,1263970
2025-06-20,357.8500061035156,359.0,342.8500061035156,351.0,2845844
2025-06-23,360.54998779296875,362.54998779296875,355.1000061035156,355.1499938964844,1621291
2025-06-24,377.04998779296875,379.8500061035156,362.29998779296875,362.95001220703125,5337639
2025-06-25,388.1499938964844,392.0,380.25,380.6499938964844,6953356
2025-06-26,384.79998779296875,393.6000061035156,381.0,391.75,3051419
2025-06-27,382.6499938964844,390.70001220703125,381.25,389.5,3036867
2025-06-30,382.79998779296875,386.95001220703125,381.8500061035156,382.6499938964844,1926845
2025-07-01,383.95001220703125,385.79998779296875,380.8500061035156,384.25,1004697
2025-07-02,386.3500061035156,388.8999938964844,378.45001220703125,383.95001220703125,3494807
2025-07-03,388.8500061035156,394.3999938964844,384.70001220703125,386.3999938964844,2716340
2025-07-04,390.1000061035156,392.0,387.54998779296875,389.0,1304996
2025-07-07,396.1000061035156,397.6000061035156,388.6000061035156,389.70001220703125,1750206
2025-07-08,408.79998779296875,410.5,393.45001220703125,398.0,5250563
2025-07-09,421.29998779296875,424.1000061035156,409.1499938964844,412.79998779296875,9609855
2025-07-10,415.1000061035156,426.29998779296875,414.1499938964844,421.79998779296875,2592665
2025-07-11,411.25,415.6000061035156,407.6499938964844,414.0,3185846
2025-07-14,406.3500061035156,411.95001220703125,404.04998779296875,410.0,2160696
2025-07-15,417.54998779296875,418.5,404.79998779296875,405.0,2303665
2025-07-16,421.1499938964844,422.5,416.04998779296875,418.6000061035156,1243552
2025-07-17,425.29998779296875,426.5,417.29998779296875,420.0,1682721
2025-07-18,425.45001220703125,437.95001220703125,424.5,425.3500061035156,5440709
2025-07-21,433.1000061035156,433.8999938964844,422.25,425.45001220703125,1243336
2025-07-22,436.8500061035156,439.8999938964844,431.54998779296875,434.5,2920726
2025-07-23,444.20001220703125,445.79998779296875,435.04998779296875,436.8500061035156,2826300
2025-07-24,437.8500061035156,449.45001220703125,436.75,444.0,2222322
2025-07-25,425.3500061035156,440.6000061035156,424.3500061035156,435.5,2805781
2025-07-28,428.8500061035156,435.0,422.54998779296875,425.3500061035156,2621869
2025-07-29,421.95001220703125,430.54998779296875,413.8500061035156,428.75,2667730
2025-07-30,409.1499938964844,421.0,407.0,421.0,1742813
2025-07-31,425.25,429.25,404.1000061035156,406.95001220703125,6815743
2025-08-01,429.8500061035156,437.75,424.5,427.0,3932117
2025-08-04,461.6000061035156,463.95001220703125,440.0,440.0,24276110
2025-08-05,458.04998779296875,463.79998779296875,450.70001220703125,460.45001220703125,4729040
2025-08-06,454.79998779296875,465.8500061035156,452.8999938964844,458.70001220703125,2975433
2025-08-07,465.75,468.0,454.75,455.0,3974066
2025-08-08,464.6499938964844,467.95001220703125,461.25,466.04998779296875,2754570
2025-08-11,467.95001220703125,470.79998779296875,462.0,464.6499938964844,1969339
2025-08-12,463.6000061035156,469.20001220703125,462.1499938964844,469.0,1037660
2025-08-13,467.1000061035156,468.0,458.54998779296875,463.6000061035156,3126875
2025-08-14,464.1000061035156,474.1000061035156,460.6499938964844,468.20001220703125,1766754
2025-08-18,465.20001220703125,469.95001220703125,458.75,469.04998779296875,3466020
2025-08-19,471.70001220703125,473.3999938964844,464.3500061035156,465.20001220703125,2390920
2025-08-20,471.1000061035156,477.75,470.0,472.95001220703125,1943419
2025-08-21,471.95001220703125,474.0,463.45001220703125,471.0,3408989
2025-08-22,473.6000061035156,475.8999938964844,468.5,471.95001220703125,1833863
2025-08-25,476.8500061035156,480.70001220703125,470.6000061035156,473.6000061035156,2179640
2025-08-26,478.5,480.45001220703125,460.5,475.0,2980903
2025-08-28,469.1499938964844,479.8500061035156,468.0,477.95001220703125,2625093
2025-08-29,468.04998779296875,472.0,462.54998779296875,468.25,1657755
2025-09-01,473.75,477.3500061035156,459.04998779296875,466.95001220703125,3187938
2025-09-02,472.04998779296875,476.1499938964844,469.5,473.75,952073
2025-09-03,478.0,485.70001220703125,471.0,472.04998779296875,4594525
2025-09-04,470.6499938964844,482.95001220703125,468.8999938964844,482.70001220703125,2026918
2025-09-05,468.75,474.1499938964844,463.5,468.25,1438563
2025-09-08,474.3999938964844,477.5,465.5,468.75,1181128
2025-09-09,463.95001220703125,475.29998779296875,459.6000061035156,473.95001220703125,2295337
2025-09-10,464.3500061035156,468.75,460.8999938964844,466.1499938964844,1541289
2025-09-11,470.29998779296875,471.3500061035156,462.04998779296875,463.5,929476
2025-09-12,467.75,471.45001220703125,465.25,470.29998779296875,842774
2025-09-15,470.95001220703125,474.0,462.0,465.0,1261016
2025-09-16,475.6000061035156,481.95001220703125,471.79998779296875,475.0,2415360
2025-09-17,482.6000061035156,483.95001220703125,475.04998779296875,477.0,1918718
2025-09-18,484.5,489.1000061035156,481.20001220703125,485.0,2370758
2025-09-19,478.79998779296875,484.0,474.04998779296875,483.79998779296875,1573435
2025-09-22,467.8999938964844,478.54998779296875,466.25,478.0,1559712
2025-09-23,459.04998779296875,468.95001220703125,457.0,467.8500061035156,1903827
2025-09-24,456.0,464.70001220703125,453.5,458.70001220703125,1779887
2025-09-25,455.3999938964844,461.04998779296875,452.70001220703125,455.0,800966
2025-09-26,445.70001220703125,457.70001220703125,443.75,455.1499938964844,3445147
2025-09-29,439.8999938964844,447.79998779296875,438.70001220703125,444.5,2624608
2025-09-30,450.04998779296875,453.8999938964844,440.0,440.0,5196195
2025-10-01,434.45001220703125,451.0,433.45001220703125,450.95001220703125,3564731
2025-10-03,437.29998779296875,440.75,427.3999938964844,435.1000061035156,8230495
2025-10-06,462.6000061035156,464.70001220703125,440.0,441.0,12219680
2025-10-07,468.95001220703125,471.0,462.0,465.0,4836942
2025-10-08,467.29998779296875,471.5,461.04998779296875,470.20001220703125,2249868
2025-10-09,468.0,475.5,466.0,467.29998779296875,3354443
2025-10-10,464.8500061035156,471.20001220703125,461.70001220703125,468.8999938964844,2268735
